franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Zodac,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-basic-figures-zodac/99287/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Gift Sets,5 Collector Figures with Exclusive Moss Man figure,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-gift-sets-5-collector-figures-with-exclusive-moss-man-figure/99104/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Gift Sets,5 Collector Figures with Exclusive Prince Adam figure,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-gift-sets-5-collector-figures-with-exclusive-prince-adam-figure/99120/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,He-Man and Battle Cat,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-gift-sets-he-man-and-battle-cat/99143/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Legends of Eternia,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-gift-sets-legends-of-eternia/99202/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Commemorative Series,Hasbro/Takara,2002,Commemorative Series,Skeletor and Panthor,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/masters-of-the-universe-motu-commemorative-series-gift-sets-skeletor-and-panthor/99242/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Combiners - Constructicons (Constructicon Devastator),Constructicon Devastator Target Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-constructicons-constructicon-devastator-target-exclusive-constructicon-devastator/20346/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/20349.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Combiners - Constructicons (Constructicon Devastator),Bonecrusher & Scavenger Target Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-ultra-class-constructicons-constructicon-devastator-target-exclusive-bonecrusher-amp-scavenger/23569/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23573.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Long Haul & Hightower Target Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-ultra-class-constructicons-constructicon-devastator-target-exclusive-long-haul-amp-hightower/23556/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23560.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Combiners - Series I Protectobots (Defensor),Autobot Groove KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-i-protectobots-defensor-kb-toys-exclusive-autobot-groove/23061/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23064.jpg,
