franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Aquaspeeders,Deluge,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-aquaspeeders-deluge/62799/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/62801.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Jetstorm,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-aquaspeeders-jetstorm/62806/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/62808.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Speedstream,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-aquaspeeders-speedstream/62813/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/62815.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Autobot Cars,Tracks Joustra,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-autobot-cars-joustra-tracks/62722/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Axelerators,Hotrider,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-axelerators-hotrider/62736/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/62738.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Axelerators,Rapido,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-axelerators-rapido/62743/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/62745.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Skram,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-axelerators-skram/62750/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/62752.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Zap,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-axelerators-zap/62757/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/62759.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Combiners,Air Raid Classics,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-combiners-classics-air-raid/8614/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/10555.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Combiners,Blades Classics,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-combiners-classics-blades/8794/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Blast Off Classics,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-combiners-classics-blast-off/8815/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/10558.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Brawl Classics,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-combiners-classics-brawl/8819/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
Transformers,Transformers,Generation 1 Europe,Hasbro/Takara,1990,Generation 1 Europe,Breakdown Classics,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-g1-europe-combiners-classics-breakdown/8635/,Expanded Transformers line import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/0.jpg,
