catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,kind,host,url,source_url,old_url,new_url,new_source_url,image_title,match_reason,cache_message
321378,Care Bears,Care Bears,Vintage Care Bears - Mini PVC Figures,1985,1985 Assortment,Cloud Keeper with Award,packaged,wharble.com,http://wharble.com/sites/default/files/Cloudkeeper_Miniature_Figure.jpg,https://wharble.com/Miniature_Care_Bears_Figures.htm,http://wharble.com/sites/default/files/Cloudkeeper_Miniature_Figure.jpg,https://wharble.com/sites/default/files/Cloudkeeper_Miniature_Figure.jpg,https://wharble.com/Miniature_Care_Bears_Figures.htm,Cloudkeeper Miniature Figure,same_filename_https,downloaded
321389,Care Bears,Care Bears,Vintage Care Bears - Vehicles and Playsets,1983,1983 Assortment,Rainbow Roller,loose,wharble.com,http://wharble.com/sites/default/files/Rainbow_Roller_Care_Bears.jpg,https://wharble.com/Care_Bears_Playsets.htm,http://wharble.com/sites/default/files/Rainbow_Roller_Care_Bears.jpg,https://wharble.com/sites/default/files/Rainbow_Roller_Care_Bears.jpg,https://wharble.com/Care_Bears_Playsets.htm,Care Bears Rainbow Roller,same_filename_https,downloaded
321389,Care Bears,Care Bears,Vintage Care Bears - Vehicles and Playsets,1983,1983 Assortment,Rainbow Roller,packaged,wharble.com,http://wharble.com/sites/default/files/Care_Bears_Rainbow_Roller.jpg,https://wharble.com/Care_Bears_Playsets.htm,http://wharble.com/sites/default/files/Care_Bears_Rainbow_Roller.jpg,https://wharble.com/sites/default/files/Care_Bears_Rainbow_Roller.jpg,https://wharble.com/Care_Bears_Playsets.htm,Care Bears Rainbow Roller,same_filename_https,downloaded
