status,host,item_id,item_name,kind,url,content_type,bytes,error
downloaded,www.actionfigure411.com,10167,Boba Fett's Slave I (Shadows of the Empire),packaged,https://www.actionfigure411.com/star-wars/images/boba-fetts-slave-i-shadows-of-the-empire-13477.jpg,image/jpeg,482254,
downloaded,www.actionfigure411.com,10171,Luke's T-16 Skyhopper,packaged,https://www.actionfigure411.com/star-wars/images/lukes-t-16-skyhopper-13465.jpg,image/jpeg,660679,
downloaded,www.actionfigure411.com,10169,Darth Vader's TIE Fighter,packaged,https://www.actionfigure411.com/star-wars/images/darth-vaders-tie-fighter-13464.jpg,image/jpeg,608283,
downloaded,www.actionfigure411.com,10175,Ben (Obi-Wan) Kenobi,packaged,https://www.actionfigure411.com/star-wars/images/ben-obi-wan-kenobi-13283.jpg,image/jpeg,368548,
downloaded,www.actionfigure411.com,10174,Lak Sivrak,packaged,https://www.actionfigure411.com/star-wars/images/lak-sivrak-13385.jpg,image/jpeg,435382,
downloaded,www.actionfigure411.com,10172,Swoop,packaged,https://www.actionfigure411.com/star-wars/images/swoop-13479.jpg,image/jpeg,770339,
downloaded,www.actionfigure411.com,10176,Boba Fett,packaged,https://www.actionfigure411.com/star-wars/images/boba-fett-13266.jpg,image/jpeg,483808,
downloaded,www.actionfigure411.com,10173,Bib Fortuna,packaged,https://www.actionfigure411.com/star-wars/images/bib-fortuna-13237.jpg,image/jpeg,1489966,
downloaded,www.actionfigure411.com,10170,Dash Rendar's Outrider (Shadows of the Empire),packaged,https://www.actionfigure411.com/star-wars/images/dash-rendars-outrider-shadows-of-the-empire-13478.jpg,image/jpeg,997720,
downloaded,www.actionfigure411.com,10177,C-3PO,packaged,https://www.actionfigure411.com/star-wars/images/c-3po-13267.jpg,image/jpeg,504661,
downloaded,www.actionfigure411.com,10180,Darth Vader (Removable Helmet),packaged,https://www.actionfigure411.com/star-wars/images/darth-vader-removable-helmet-13387.jpg,image/jpeg,420514,
downloaded,www.actionfigure411.com,10178,Captain Piett (Freeze Frame),packaged,https://www.actionfigure411.com/star-wars/images/captain-piett-freeze-frame-13386.jpg,image/jpeg,524633,
downloaded,www.actionfigure411.com,10166,Boba Fett's Slave I,packaged,https://www.actionfigure411.com/star-wars/images/boba-fetts-slave-i-13462.jpg,image/jpeg,476312,
downloaded,www.actionfigure411.com,10179,Darth Vader,packaged,https://www.actionfigure411.com/star-wars/images/darth-vader-13268.jpg,image/jpeg,440949,
downloaded,www.actionfigure411.com,10182,Han Solo,packaged,https://www.actionfigure411.com/star-wars/images/han-solo-13269.jpg,image/jpeg,434163,
downloaded,www.actionfigure411.com,10183,Ishi Tib,packaged,https://www.actionfigure411.com/star-wars/images/ishi-tib-13388.jpg,image/jpeg,557088,
downloaded,www.actionfigure411.com,10181,Emperor Palpatine,packaged,https://www.actionfigure411.com/star-wars/images/emperor-palpatine-13238.jpg,image/jpeg,1143005,
downloaded,www.actionfigure411.com,10185,Luke Skywalker (In X-Wing Pilot Gear),packaged,https://www.actionfigure411.com/star-wars/images/luke-skywalker-in-x-wing-pilot-gear-13270.jpg,image/jpeg,439087,
downloaded,www.actionfigure411.com,10184,Luke Skywalker (In Stormtrooper Disguise),packaged,https://www.actionfigure411.com/star-wars/images/luke-skywalker-in-stormtrooper-disguise-13284.jpg,image/jpeg,405757,
downloaded,www.actionfigure411.com,10187,R2-D2,packaged,https://www.actionfigure411.com/star-wars/images/r2-d2-13271.jpg,image/jpeg,558111,
downloaded,www.actionfigure411.com,10186,Princess Leia Organa,packaged,https://www.actionfigure411.com/star-wars/images/princess-leia-organa-13282.jpg,image/jpeg,442836,
downloaded,www.actionfigure411.com,10189,Stormtrooper,packaged,https://www.actionfigure411.com/star-wars/images/stormtrooper-13272.jpg,image/jpeg,476429,
