"InventoryID","Item","Type","Property","Line","Wave","ReleaseYear","Complete","Sealed","Boxed","Condition","Notes"
"116","Raph's Turtle Tugboat Soap Dish","Accessory","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Licensed Products","1988","True","True","False","Near Mint","Kid Care (Includes original packaged soaps)"
"148","Leonardo Yo-Yo","Accessory","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Licensed Products","1988","True","True","False","Near Mint","Spectra Star"
"149","Donatello Nightlight","Accessory","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Licensed Products","1988","True","False","False","Very Good","Hapiness Express Ltd (Works)"
"150","Leonardo Nightlight","Accessory","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Licensed Products","1988","True","False","False","Very Good","Hapiness Express Ltd (Burnt out Lightbulb)"
"167","Toon Irma","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 6","1993","True","True","False","Near Mint","Unpunched"
"169","Toon Burne","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 6","1993","True","True","False","Near Mint","Unpunched"
"171","Slam Dunkin' Don","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"172","Slapshot Leo","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"173","Zak the Neutrino","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"176","Grand Slammin' Raph","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"177","Shell Kickin' Raph","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"179","Creepy Crawlin' Splinter","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 3","1990","True","True","False","Near Mint","Unpunched"
"180","Sewer Swimmin' Donatello","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 2","1989","True","True","False","Near Mint","Unpunched"
"185","Tokka","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"186","Wyrm","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"187","Donatello Weighlifting Mirror","Accessory","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Licensed Products","1988","True","False","False","Very Good","Mirage (1990)"
"188","Leonardo Surfing Mirror","Accessory","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Licensed Products","1988","True","False","False","Very Good","Mirage (1990)"
"189","Pizza Tossin' Don","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 7","1994","True","True","False","Near Mint","Ninja Power Card"
"196","Hothead","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 5","1992","True","True","False","Near Mint","Unpunched"
"197","Halfcourt","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 6","1993","True","True","False","Near Mint","Unpunched"
"201","Teenage Mutant Hero Turtles Electronic Pinball","Accessory","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Licensed Products","1988","True","True","False","Near Mint","Kid Works (British)"
"202","Subterranian Sewer Hockey","Accessory","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Licensed Products","1988","True","False","False","Near Mint","Remco (With good box)"
"260","Turtle Layer","Playset","Teenage Mutant Ninja Turtles","TMNT 2003","Wave 3","2003","True","False","True","Near Mint","Sears Gift Set Edition with White No Graphics Box; Shredder Figure; Leo Figure and Turtle Bike"
"263","S.W.A.T. Attack Pack","Multi-Pack","Teenage Mutant Ninja Turtles","TMNT 2003","Wave 8","2005","True","True","True","Good","Crushed Celophane"
