Item,Type,Property,Line,Wave,OnHand
Vamp (repro),Vehicle,G.I. Joe,Vintage G.I. Joe,Wave 1,1
Stalker,Figure,G.I. Joe,Vintage G.I. Joe,Wave 1,1
Snake Eyes,Figure,G.I. Joe,Vintage G.I. Joe,Wave 1,1
Rock 'n Roll,Figure,G.I. Joe,Vintage G.I. Joe,Wave 1,1
MOBAT,Vehicle,G.I. Joe,Vintage G.I. Joe,Wave 1,1
Grunt,Figure,G.I. Joe,Vintage G.I. Joe,Wave 1,1
Cobra Trooper,Figure,G.I. Joe,Vintage G.I. Joe,Wave 1,1
Breaker,Figure,G.I. Joe,Vintage G.I. Joe,Wave 1,1
Big Ben,Figure,G.I. Joe,Vintage G.I. Joe,Wave 10,1
Iguanas,Figure,G.I. Joe,Vintage G.I. Joe,Wave 17,1
Slyther,Figure,G.I. Joe,Vintage G.I. Joe,Wave 17,1
Driver-Cobra H.I.S.S.,Figure,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Driver-Ace,Figure,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Destro,Figure,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Cobra H.I.S.S. (repro),Vehicle,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Cobra H.I.S.S.,Vehicle,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Cobra Commander,Figure,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Driver-Wild Bill,Figure,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Tripwire,Figure,G.I. Joe,Vintage G.I. Joe,Wave 2,2
Torpedo,Figure,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Snow Job,Figure,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Major Bludd,Figure,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Headquarters,Playset,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Gung-Ho,Figure,G.I. Joe,Vintage G.I. Joe,Wave 2,1
Pocket Patrol Pack,Accessory,G.I. Joe,Vintage G.I. Joe,Wave 2,2
Storm Shadow,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Scrap-Iron,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Roadblock,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Baroness,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Blowtorch,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Chameleon,Vehicle,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Firefly,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Driver: Zartan,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Driver: Wild Weasel,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Driver: Deep Six,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Driver: Cutter,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Driver: Copperhead,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Driver: Cobra Stinger Driver,Figure,G.I. Joe,Vintage G.I. Joe,Wave 3,1
Buzzer,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Alpine,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Airtight,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Buzzer,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Crimson Guard,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Shipwreck,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Quick Kick,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Lady Jaye,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Dusty,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Driver: Lampreys,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Driver: Frostbite,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Snow Serpent,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Xamot,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Tomax,Figure,G.I. Joe,Vintage G.I. Joe,Wave 4,1
Wet-Suit,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Monkeywrench,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Low-Light,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Zarana,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Leatherneck,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Iceberg,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Beach Head,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Conquest X-30,Vehicle,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Dial-Tone,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Driver: Slip-Stream,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Driver: Lift-Ticket,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Driver: A.V.A.C,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Dr. Mindbender,Figure,G.I. Joe,Vintage G.I. Joe,Wave 5,1
Chuckles,Figure,G.I. Joe,Vintage G.I. Joe,Wave 6,1
Croc Master,Figure,G.I. Joe,Vintage G.I. Joe,Wave 6,1
Falcon,Figure,G.I. Joe,Vintage G.I. Joe,Wave 6,1
Driver: Ice Viper,Figure,G.I. Joe,Vintage G.I. Joe,Wave 6,1
Driver: Hardtop,Figure,G.I. Joe,Vintage G.I. Joe,Wave 6,1
Tunnel Rat,Figure,G.I. Joe,Vintage G.I. Joe,Wave 6,1
Law & Order,Figure,G.I. Joe,Vintage G.I. Joe,Wave 6,1
Driver: Armadillo,Figure,G.I. Joe,Vintage G.I. Joe,Wave 7,1
Night-Viper,Figure,G.I. Joe,Vintage G.I. Joe,Wave 8,1
Alley-Viper,Figure,G.I. Joe,Vintage G.I. Joe,Wave 8,1
Frag-Viper,Figure,G.I. Joe,Vintage G.I. Joe,Wave 8,1
Bullhorn,Figure,G.I. Joe,Vintage G.I. Joe,Wave 9,1
Night-Creeper,Figure,G.I. Joe,Vintage G.I. Joe,Wave 9,1
Metal-Head,Figure,G.I. Joe,Vintage G.I. Joe,Wave 9,1
Rock Lords: A Giant Coloring Book,Accessory,Go Bots,Rock Lords,Rock Lords,1
Boulder,Figure,Go Bots,Rock Lords,Rock Lords,1
Rock Commander,Vehicle,Go Bots,Rock Lords,Wave 1 (Japanese Only),1
Super Destroyer,Figure,Go Bots,Super Go Bots,Super Go Bots,1
Super Baron Von Joy,Figure,Go Bots,Super Go Bots,Super Go Bots,1
Good Knight (34),Figure,Go Bots,Vintage Go Bots,Vintage,1
Monsterous,Figure,Go Bots,Vintage Go Bots,Vintage,1
Binoc,Figure,Go Bots,Vintage Go Bots,Vintage,1
Creepy Mail Away Exclusive,Figure,Go Bots,Vintage Go Bots,Vintage,1
Creepy (56),Figure,Go Bots,Vintage Go Bots,Vintage,1
Staks Transport (blue),Figure,Go Bots,Vintage Go Bots,Vintage,1
Water Walk (32),Figure,Go Bots,Vintage Go Bots,Vintage,1
Road Ranger (18),Figure,Go Bots,Vintage Go Bots,Vintage,1
Puzzler,Figure,Go Bots,Vintage Go Bots,Vintage,1
Path Finder (29),Figure,Go Bots,Vintage Go Bots,Vintage,1
Rumble,Figure,Go Bots,Vintage Go Bots,Vintage,1
Forest Fantasy: Jade,Fashion,Golden Girl,Golden Girl,Golden Girl,2
Forest Fantasy: Dragon Queen,Fashion,Golden Girl,Golden Girl,Golden Girl,1
Forest Fantasy: Saphire,Fashion,Golden Girl,Golden Girl,Golden Girl,1
Festival Spirit: Vultura,Fashion,Golden Girl,Golden Girl,Golden Girl,1
Festival Spirit: Rubee,Fashion,Golden Girl,Golden Girl,Golden Girl,2
Festival Spirit: Jade,Fashion,Golden Girl,Golden Girl,Golden Girl,1
Festival Spirit: Dragon Queen,Fashion,Golden Girl,Golden Girl,Golden Girl,2
Forest Fantasy: Wild One,Fashion,Golden Girl,Golden Girl,Golden Girl,2
Golden Girl,Figure,Golden Girl,Golden Girl,Golden Girl,1
Wild One,Figure,Golden Girl,Golden Girl,Golden Girl,1
