sku,page_url,title,target_name,kind,image_url,match_norm
RBT024,https://collectorarchive.com/rbt024,1986 Matchbox Robotech Carded Action Figure - Rick Hunter,Rick Hunter,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10174590_1_1.jpg,rick hunter
RBT025,https://collectorarchive.com/rbt025,1986 Matchbox Robotech Boxed Action Figure - Excaliber MK VI,Excaliber MK VI,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10174586_1_1.jpg,excaliber mk vi
RBT026,https://collectorarchive.com/rbt026,1992 Harmony Gold Robotech Carded Action Figure - Miriya (Purple),Miriya (Purple),packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10186629_1_1.jpg,miriya purple
RBT027,https://collectorarchive.com/rbt027,1992 Harmony Gold Robotech Carded Action Figure - Lisa Hayes,Lisa Hayes,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10186630_1_1.jpg,lisa hayes
RBT028,https://collectorarchive.com/rbt028,1992 Harmony Gold Robotech Carded Action Figure - Rick Hunter,Rick Hunter,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10186631_1_1.jpg,rick hunter
RBT029,https://collectorarchive.com/rbt029,1992 Harmony Gold Robotech Carded Action Figure - Zor Prime,Zor Prime,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10186632_1_1.jpg,zor prime
RBT030,https://collectorarchive.com/rbt030,1992 Harmony Gold Robotech Carded Action Figure - Scott Bernard,Scott Bernard,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10186633_1_1.jpg,scott bernard
RBT031,https://collectorarchive.com/rbt031,1986 Matchbox Robotech 6 Inch Loose Action Figure - Khyron,Khyron,loose,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10200207_1_1.jpg,khyron
RBT032,https://collectorarchive.com/rbt032,1986 Matchbox Robotech 6 Inch Loose Action Figure - Breetai,Breetai,loose,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10197370_1_1.jpg,breetai
RBT033,https://collectorarchive.com/rbt033,1986 Matchbox Robotech 6 Inch Loose Action Figure - Miriya,Miriya,loose,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10197371_1_1.jpg,miriya
RBT034,https://collectorarchive.com/rbt034,1986 Matchbox Robotech 6 Inch Loose Action Figure - Exedore,Exedore,loose,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10197373_1_1.jpg,exedore
RBT035,https://collectorarchive.com/rbt035,1986 Matchbox Robotech 6 Inch Loose Action Figure - Dolza,Dolza,loose,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10197363_1_1.jpg,dolza
RBT036,https://collectorarchive.com/rbt036,1986 Matchbox Robotech 6 Inch Loose Action Figure - Armoured Zentraedi Warrior,Armoured Zentraedi Warrior,loose,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10197372_1_1.jpg,armoured zentraedi warrior
RBT037,https://collectorarchive.com/rbt037,1986 Matchbox Robotech Loose Action Figure - Bioroid,Bioroid,loose,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10201437_1_1.jpg,bioroid
