catalog_item_id,item,quantity_owned,complete,packaged,sealed,access_note_count
321312,Professor Coldheart,1,1,1,1,0
321317,Lotsa Heart Elephant with Mighty Trunk,1,1,1,1,0
321311,Grams Bear with Lovin Basket,1,1,1,1,0
321319,Gentleheart Lamb with Peek-a-boo Bell,1,1,1,1,0
321302,Friend Bear with Friendly Sprinkler,1,1,1,1,0
321320,Cozy Heart Penguin with Nice-Skates,1,1,1,1,0
321313,Cloud Keeper with Fluffy Cloud Broom,1,1,1,1,0
321316,Brightheart Raccoon with Clever Candle,1,1,1,1,0
321321,Braveheart Lion with Trusty Shield,1,1,1,1,0
321300,Birthday Bear with Happy Birthday Banner,1,1,1,1,0
321310,Baby Tugs Bear with Big Digity Bucket,1,1,1,1,0
321309,Baby Hugs Bear with Sweet Lickity Lolipop,1,1,1,1,0
321318,Swiftheart Rabbit with Speedy Skateboard,1,1,1,1,0
6326791,View Master,1,1,1,1,1
6326790,Vacation on Terror Island,1,1,0,0,1
6326789,Turbo Thruster (Toys for Bikes),1,1,1,1,0
6326788,Jake Rockwell (Pencil Top Eraser),1,1,1,1,1
6326787,Hacker (Pencil Top Eraser),1,1,1,1,1
6326786,Dr. Terror (Pencil Top Eraser),1,1,1,1,1
328115,Orbital Interceptor,1,1,1,0,0
328111,Max Ray with Cruiser,1,1,0,0,0
328110,Jake Rockwell with Fireforce,1,1,0,0,0
328109,Hacker,1,1,1,1,0
328106,Doc Terror,1,1,1,1,0
328105,Ace McCloud with Sky Knight,1,1,0,0,0
328120,Wild Weasel,1,1,1,0,0
334838,Soccer Trophy with Null Figure,1,1,1,1,0
334831,Romm,1,1,1,1,0
334839,Pepsi Can with Gridd Figure,1,1,1,0,0
334837,Pencil Sharpener with Minus Figure,1,1,1,0,0
334842,Megahert,1,1,1,1,0
334833,Flashlight with Skannar Figure,1,1,1,1,0
334841,Debugg,1,1,1,1,0
334836,Book with Indexx Figure,1,1,1,0,0
334840,Asynk,1,1,1,1,0
341564,A.P.E.S.,1,1,1,1,0
341552,Barricade,1,1,1,1,0
341559,Berserko,1,1,1,1,0
341560,Big Boss,1,1,1,1,0
341575,Nightmare,1,1,1,1,0
341574,Louie the Plumber,1,1,1,1,0
341555,Longarm,1,1,1,1,0
341573,Koo Koo,1,1,1,1,0
341578,Jail Bird Air Speeder,1,1,1,1,0
341567,Inferno,1,1,1,1,0
341572,Hyena,1,1,1,1,0
341581,Highway Intercepter with Roadblock,1,1,1,1,0
341580,Dragster,1,1,1,1,0
341562,Dr. Badvibes,1,1,1,1,0
341561,Buttons McBoomboom,1,1,1,1,0
341571,Bullit,1,1,1,1,0
341553,Bullet-Proof,1,1,1,1,0
341568,Nightstick,1,1,1,1,0
341556,Officer Bowzer and Blitz,1,1,1,1,0
341583,Pursuit Jet,1,1,1,1,0
341558,Sundown,1,1,1,1,0
341563,Rock Krusher,2,0,0,0,0
341569,Powder Keg,1,1,1,1,0
442250,Launchpad McQuack,1,1,1,1,0
442252,Honker Muddlefoot,1,1,1,1,0
442251,Gosalyn Mallard,1,1,1,1,0
442249,Darkwing Duck,1,1,1,1,0
442256,Megavolt,1,1,1,1,0
469090,Garax,1,1,1,1,0
469096,Flash Sword Ship,1,1,1,1,0
469089,Flash Gordon,1,1,1,1,0
469091,Lothar,1,1,1,1,0
469092,Mandrake the Magician,1,1,1,1,0
469100,Phantom Skull Copter,1,1,1,1,0
469099,Mongor,1,1,1,1,0
469093,Ming the Merciless,1,1,1,1,0
495939,Taco Terror,1,1,1,1,0
495937,Short Stack (Maple Syrup),1,1,1,1,0
495931,Sergeant Scoop (Chocolate),1,1,1,1,0
495930,Private Pizza,1,1,1,1,0
495936,Mean Weener,1,1,1,1,0
495928,Major Munch (Chocolate Frosting),1,1,1,1,0
495927,Lieutenant Legg,1,1,1,1,0
495935,Fat Frenchy,1,1,1,1,0
495933,Chip the Ripper (Chocolate Chip),1,1,1,1,0
495926,Burgerdier General,1,1,1,1,0
730663,#7 Gung Ho,1,1,1,1,0
