catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,column,old_url,new_url,old_host,new_host
786839,G.I. Joe,G.I. Joe,Exclusives (ToyFare Magazine Mail Order),2003,Exclusives (ToyFare Magazine Mail Order),Agent Scarlett,image_url,https://www.yojoe.com/images/resize/w/MAX/action/03/allgearedup/agentscarlett3.jpg,https://www.yojoe.com/images/resize/h/375/action/03/images/agentscarlett3.jpg,www.yojoe.com,www.yojoe.com
786847,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra Spy Troops,2003,G.I. Joe vs. Cobra Spy Troops,Cobra Alley Viper,image_url,https://www.yojoe.com/images/resize/w/MAX/action/03/allgearedup/alleyviper7.jpg,https://www.yojoe.com/images/resize/h/375/action/03/images/alleyviper7.jpg,www.yojoe.com,www.yojoe.com
786854,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra Spy Troops,2003,G.I. Joe vs. Cobra Spy Troops,Cobra Viper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/03/images/viper11.jpg,https://www.yojoe.com/images/resize/w/MAX/action/03/allgearedup/viper11.jpg,www.yojoe.com,www.yojoe.com
786855,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra Spy Troops,2003,G.I. Joe vs. Cobra Spy Troops,Cross Hair,packaged_image_url,https://www.yojoe.com/images/resize/h/375/imagestore/726/85393.jpg,https://www.yojoe.com/images/resize/h/375/action/03/images/crosshair2.jpg,www.yojoe.com,www.yojoe.com
786883,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra Spy Troops,2003,G.I. Joe vs. Cobra Spy Troops,Sand Viper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/03/images/sandviper.jpg,https://www.yojoe.com/images/resize/h/375/action/03/images/sandviper2.jpg,www.yojoe.com,www.yojoe.com
786896,G.I. Joe,G.I. Joe,Mail-Ins,2003,Mail-Ins,Agent Faces,image_url,https://www.yojoe.com/images/resize/w/MAX/action/03/allgearedup/agentfaces2a.jpg,https://www.yojoe.com/images/resize/h/375/action/03/images/agentfaces2.jpg,www.yojoe.com,www.yojoe.com
786907,G.I. Joe,G.I. Joe,Spy Troops Vehicle Drivers,2003,Spy Troops Vehicle Drivers,Cobra Viper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/03/images/viper10.jpg,https://www.yojoe.com/images/resize/h/375/action/03/images/viper9.jpg,www.yojoe.com,www.yojoe.com
786913,G.I. Joe,G.I. Joe,Spy Troops Vehicle Drivers,2003,Spy Troops Vehicle Drivers,Grunt,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/03/images/grunt7.jpg,https://www.yojoe.com/images/resize/h/375/action/03/images/grunt5.jpg,www.yojoe.com,www.yojoe.com
786951,G.I. Joe,G.I. Joe,Cobra Infantry Forces (TRU exclusive),2004,Cobra Infantry Forces (TRU exclusive),Cobra Infantry Trooper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/04/images/infantrytrooper3.jpg,https://www.yojoe.com/images/resize/h/375/action/04/images/infantrytrooper1.jpg,www.yojoe.com,www.yojoe.com
786972,G.I. Joe,G.I. Joe,Cobra Valor vs Venom,2004,Cobra Valor vs Venom,Cobra Viper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/04/images/viper13.jpg,https://www.yojoe.com/images/resize/h/375/action/04/images/viper12.jpg,www.yojoe.com,www.yojoe.com
786979,G.I. Joe,G.I. Joe,Cobra Valor vs Venom,2004,Cobra Valor vs Venom,Night Creeper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/04/images/nightcreeper7.jpg,https://www.yojoe.com/images/resize/h/375/action/04/images/nightcreeper8.jpg,www.yojoe.com,www.yojoe.com
787044,G.I. Joe,G.I. Joe,G.I. Joe Valor vs Venom,2004,G.I. Joe Valor vs Venom,Kamakura,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/04/images/kamakura3.jpg,https://www.yojoe.com/images/resize/h/375/action/04/images/kamakura2.jpg,www.yojoe.com,www.yojoe.com
787100,G.I. Joe,G.I. Joe,2005 G.I.Joe Convention Exclusives,2005,2005 G.I.Joe Convention Exclusives,Destro,image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/destro13.jpg,https://www.yojoe.com/images/resize/h/375/action/05/images/conimages/destro13small.jpg,www.yojoe.com,www.yojoe.com
787101,G.I. Joe,G.I. Joe,2005 G.I.Joe Convention Exclusives,2005,2005 G.I.Joe Convention Exclusives,General Mayhem,image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/mayhem.jpg,https://www.yojoe.com/images/resize/h/375/action/05/images/conimages/mayhemsmall.jpg,www.yojoe.com,www.yojoe.com
787104,G.I. Joe,G.I. Joe,2005 G.I.Joe Convention Exclusives,2005,2005 G.I.Joe Convention Exclusives,Iron Grenadier,image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/irongrenadier5.jpg,https://www.yojoe.com/images/resize/h/375/action/05/images/conimages/irongrenadier5small.jpg,www.yojoe.com,www.yojoe.com
787109,G.I. Joe,G.I. Joe,B.A.T. Attack (DTC exclusive),2005,B.A.T. Attack (DTC exclusive),Cobra B.A.T. v3,image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/bat14.jpg,https://www.yojoe.com/images/resize/h/375/action/05/images/bat14.jpg,www.yojoe.com,www.yojoe.com
787110,G.I. Joe,G.I. Joe,B.A.T. Attack (DTC exclusive),2005,B.A.T. Attack (DTC exclusive),Cobra B.A.T. v4,image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/bat15.jpg,https://www.yojoe.com/images/resize/h/375/action/05/images/bat15.jpg,www.yojoe.com,www.yojoe.com
787120,G.I. Joe,G.I. Joe,Cobra Imperial Procession (TRU exclusive),2005,Cobra Imperial Procession (TRU exclusive),Baroness,image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/baroness8.jpg,https://www.yojoe.com/images/resize/h/375/action/05/images/baroness8.jpg,www.yojoe.com,www.yojoe.com
787124,G.I. Joe,G.I. Joe,Cobra Night Watch (DTC exclusive),2005,Cobra Night Watch (DTC exclusive),Cobra Night Trooper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/imagestore/1752/21240.jpg,https://www.yojoe.com/images/resize/h/375/imagestore/1751/21245.jpg,www.yojoe.com,www.yojoe.com
787145,G.I. Joe,G.I. Joe,Comic Book 3 Packs - Set #21,2005,Comic Book 3 Packs - Set #21,Storm Shadow,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/05/images/stormshadow19.jpg,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/stormshadow19a.jpg,www.yojoe.com,www.yojoe.com
787147,G.I. Joe,G.I. Joe,Comic Book 3 Packs - Set #24,2005,Comic Book 3 Packs - Set #24,Duke,image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/duke21.jpg,https://www.yojoe.com/images/resize/h/375/action/05/images/duke21.jpg,www.yojoe.com,www.yojoe.com
787152,G.I. Joe,G.I. Joe,Comic Book 3 Packs - Set #6,2005,Comic Book 3 Packs - Set #6,Colonel Brekhov,image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/colonelbrekhov2.jpg,https://www.yojoe.com/images/resize/h/375/imagestore/1784/20952.jpg,www.yojoe.com,www.yojoe.com
787154,G.I. Joe,G.I. Joe,Comic Book 3 Packs - Set #6,2005,Comic Book 3 Packs - Set #6,Shrage,image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/shrage1.jpg,https://www.yojoe.com/images/resize/h/375/imagestore/1786/20935.jpg,www.yojoe.com,www.yojoe.com
787156,G.I. Joe,G.I. Joe,Comic Book 3 Packs - Set #7,2005,Comic Book 3 Packs - Set #7,"Stepan ""Horror Show"" Drukersky",image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/horrorshow1.jpg,https://www.yojoe.com/images/resize/h/375/imagestore/1787/20970.jpg,www.yojoe.com,www.yojoe.com
787158,G.I. Joe,G.I. Joe,Comic Book 3 Packs - Set #74,2005,Comic Book 3 Packs - Set #74,Cobra Commander,image_url,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/cobracommander22b.jpg,https://www.yojoe.com/images/resize/h/375/action/05/images/comicpack/cobracommander22_small.jpg,www.yojoe.com,www.yojoe.com
787180,G.I. Joe,G.I. Joe,G.I. Joe Direct To Consumer,2005,G.I. Joe Direct To Consumer,"David ""Salvo"" Hasle",packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/05/images/salvo2.jpg,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/salvo2.jpg,www.yojoe.com,www.yojoe.com
787185,G.I. Joe,G.I. Joe,G.I. Joe Direct To Consumer Vehicle Drivers,2005,G.I. Joe Direct To Consumer Vehicle Drivers,Cannonball,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/05/images/cannonball.jpg,https://www.yojoe.com/images/resize/w/MAX/action/05/allgearedup/cannonball.jpg,www.yojoe.com,www.yojoe.com
787204,G.I. Joe,G.I. Joe,Heavy Assault Squad (TRU exclusive),2005,Heavy Assault Squad (TRU exclusive),Infantry Division,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/05/images/infantrydivision2.jpg,https://www.yojoe.com/images/resize/h/375/action/05/images/infantrydivision.jpg,www.yojoe.com,www.yojoe.com
787209,G.I. Joe,G.I. Joe,Infantry Division (TRU exclusive),2005,Infantry Division (TRU exclusive),Infantry Division,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/05/images/infantrydivision2.jpg,https://www.yojoe.com/images/resize/h/375/action/05/images/infantrydivision.jpg,www.yojoe.com,www.yojoe.com
810340,G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,2006,2006 G.I.Joe Convention Exclusives,COIL Trooper,image_url,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/coiltrooper_agu.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/coiltrooper-s.jpg,www.yojoe.com,www.yojoe.com
