catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,kind,host,url,source_url,new_url,new_source_name,new_source_url,source_item_title,source_release_year,source_series,score,reasons
4210580,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series 1,Juggernaut & Wolverine Patch,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/JuggernautWolverinePatch-Canadian2PackSeries1-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126190&figure=juggernautampwolverinepatch,https://www.toymania.com/archives/xmen/juggrntc.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210580,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series 1,Juggernaut & Wolverine Patch,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/JuggernautWolverinePatch-Canadian2PackSeries1-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126190&figure=juggernautampwolverinepatch,https://www.toymania.com/archives/xmen/juggrnta.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210580,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series 1,Juggernaut & Wolverine Patch,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/JuggernautWolverinePatch-Canadian2PackSeries1-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126190&figure=juggernautampwolverinepatch,https://www.toymania.com/archives/xmen/juggrntd.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210587,X-Men,X-Men,Toy Biz X-Men,1997,Canadian 2-Pack - Series 3,Bishop & Iceman II,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/BishopIcemanII-Canadian2PackSeries3-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126192&figure=bishopampicemanii,https://www.toymania.com/archives/xmen/bishop.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/bishop.shtml,Bishop,1993,Series IV - 1993,63,name;year_mismatch:1993;wave_hint;kind
4210590,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series Light Up Weapons,Gambit & Psylocke,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/GambitPsylocke-Canadian2PackSeriesLightUpWeapons-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126196&figure=gambitamppsylocke,https://www.toymania.com/archives/xmen/gambit.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/gambit.shtml,Gambit Gambit,1992,Series III - 1992,63,name;year_mismatch:1992;wave_hint;kind
4210591,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series Light Up Weapons,Gambit & Wolverine,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/GambitWolverine-Canadian2PackSeriesLightUpWeapons-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126197&figure=gambitampwolverine,https://www.toymania.com/archives/xmen/gambit.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/gambit.shtml,Gambit Gambit,1992,Series III - 1992,63,name;year_mismatch:1992;wave_hint;kind
4210592,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series Light Up Weapons,Juggernaut & Wolverine,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/JuggernautWolverine-Canadian2PackSeriesLightUpWeapons-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126198&figure=juggernautampwolverine,https://www.toymania.com/archives/xmen/juggrnt.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210592,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series Light Up Weapons,Juggernaut & Wolverine,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/JuggernautWolverine-Canadian2PackSeriesLightUpWeapons-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126198&figure=juggernautampwolverine,https://www.toymania.com/archives/xmen/juggrntc.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210592,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series Light Up Weapons,Juggernaut & Wolverine,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/JuggernautWolverine-Canadian2PackSeriesLightUpWeapons-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126198&figure=juggernautampwolverine,https://www.toymania.com/archives/xmen/juggrnta.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210592,X-Men,X-Men,Toy Biz X-Men,1996,Canadian 2-Pack - Series Light Up Weapons,Juggernaut & Wolverine,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/JuggernautWolverine-Canadian2PackSeriesLightUpWeapons-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=126198&figure=juggernautampwolverine,https://www.toymania.com/archives/xmen/juggrntd.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
